year,entries,pass,extracted,missing
2008,316849,184887,183076,0.9795
2009,398896,256795,256212,0.227
2010,425350,282693,281536,0.4093
2011,472097,324245,323906,0.1046
2012,529949,325288,324890,0.1224
2013,564970,271092,270705,0.1428
2014,611657,336206,330063,1.8272
2015,1207886,730338,729829,0.0697
2016,620671,400130,400139,-0.0022
2017,627899,412443,413563,-0.2716
2018,677820,502045,501969,0.0151
2019,728688,516240,516036,0.0395
2020,834606,633516,633454,0.0098
2021,1626761,956537,956994,-0.0478
2022,1742738,1201051,1222198,-1.7607
2023,987341,769484,709413,7.8067
