bronze,sliver,gold,sliver_lines,gold_lines,difference
calendrier-scolaire-2025-2026.pdf,,,,,
kinshasa-2019a.pdf,kinshasa-2019a.txt,palmares-2019-kinshasa.txt,138496,130404,-8092
palm-bas-fleuve-21-2019.pdf,palm-bas-fleuve-21-2019.txt,palmares-2019-bas-fleuve-21.txt,21040,19643,-1397
palm-bas-uele-54-2019.pdf,palm-bas-uele-54-2019.txt,palmares-2019-bas-uele-54.txt,2715,2525,-190
palm-cataratces-22-2019.pdf,palm-cataratces-22-2019.txt,palmares-2019-cataratces-22.txt,10595,9842,-753
palm-equateur-1-41-2019.pdf,palm-equateur-1-41-2019.txt,palmares-2019-equateur-1-41.txt,9908,9312,-596
palm-equateur-2-46-2019.pdf,palm-equateur-2-46-2019.txt,palmares-2019-equateur-2-46.txt,4402,4054,-348
palm-haut-katanga-2-76-2019.pdf,palm-haut-katanga-2-76-2019.txt,palmares-2019-haut-katanga-2-76.txt,3920,3699,-221
palm-haut-katanga-71-2019.pdf,palm-haut-katanga-71-2019.txt,palmares-2019-haut-katanga-71.txt,64350,60735,-3615
palm-haut-lomami-1-72-2019.pdf,palm-haut-lomami-1-72-2019.txt,palmares-2019-haut-lomami-72.txt,10624,9947,-677
palm-haut-lomami-2-75-2019.pdf,palm-haut-lomami-2-75-2019.txt,palmares-2019-haut-lomami-2-75.txt,7884,7514,-370
palm-haut-uele-53-2019.pdf,palm-haut-uele-53-2019.txt,palmares-2019-haut-uele-53.txt,5871,5443,-428
palm-hf-2019.pdf,palm-hf-2019.txt,palmares-2019-hf.txt,473,464,-9
palm-ituri-1-52-2019.pdf,palm-ituri-1-52-2019.txt,palmares-2019-ituri-1-52.txt,9362,8754,-608
palm-ituri-2-56-2019.pdf,palm-ituri-2-56-2019.txt,palmares-2019-ituri-2-56.txt,6647,6182,-465
palm-junacyc-2019.pdf,palm-junacyc-2019.txt,palmares-2019-junacyc.txt,7389,6721,-668
palm-kasai-1-82-2019.pdf,palm-kasai-1-82-2019.txt,palmares-2019-kasai-1-82.txt,9690,8906,-784
palm-kasai-2-84-2019.pdf,palm-kasai-2-84-2019.txt,palmares-2019-kasai-2-84.txt,11085,10384,-701
palm-kasai-central-1-81-2019.pdf,palm-kasai-central-1-81-2019.txt,palmares-2019-kasai-central-1-81.txt,16707,15896,-811
palm-kasai-central-2-83-2019-2.pdf,palm-kasai-central-2-83-2019-2.txt,palmares-2019-kasai-central-2-83.txt,6445,6070,-375
palm-kasai-central-2-83-2019.pdf,palm-kasai-central-2-83-2019.txt,palmares-2019-kasai-central-2-83.txt,6445,6070,-375
palm-kasai-oriental-91-2019.pdf,palm-kasai-oriental-91-2019.txt,palmares-2019-kasai-oriental-91.txt,14644,13821,-823
palm-kwango-1-33-2019.pdf,palm-kwango-1-33-2019.txt,palmares-2019-kwango-1-33.txt,13400,12287,-1113
palm-kwango-2-36-2019.pdf,palm-kwango-2-36-2019.txt,palmares-2019-kwango-2-36.txt,7509,6907,-602
palm-kwilu-1-32-2019.pdf,palm-kwilu-1-32-2019.txt,palmares-2019-kwilu-1-32.txt,13637,12565,-1072
palm-kwilu-2-34-2019.pdf,palm-kwilu-2-34-2019.txt,palmares-2019-kwilu-2-34.txt,31330,28664,-2666
palm-kwilu-3-35-2019.pdf,palm-kwilu-3-35-2019.txt,palmares-2019-kwilu-3-35.txt,19015,17741,-1274
palm-lomami-93-2019.pdf,palm-lomami-93-2019.txt,palmares-2019-lomami-93.txt,24272,22805,-1467
palm-lualaba-1-74-2019.pdf,palm-lualaba-1-74-2019.txt,palmares-2019-lualaba-1-74.txt,7701,7223,-478
palm-lualaba-2-78-2019.pdf,palm-lualaba-2-78-2019.txt,palmares-2019-lualaba-2-78.txt,4398,4154,-244
palm-lukaya-23-2019.pdf,palm-lukaya-23-2019.txt,palmares-2019-lukaya-23.txt,6257,5833,-424
palm-mai-ndombe-31-2019-global-avec-session-speciale.pdf,palm-mai-ndombe-31-2019-global-avec-session-speciale.txt,palmares-2019-mai-ndombe-31-s.txt,17068,15964,-1104
palm-maniema-64-2019.pdf,palm-maniema-64-2019.txt,palmares-2019-maniema-64.txt,16486,15355,-1131
palm-mongala-44-2019.pdf,palm-mongala-44-2019.txt,palmares-2019-mongala-44.txt,10152,9444,-708
palm-nord-kivu-1-61-2019.pdf,palm-nord-kivu-1-61-2019.txt,palmares-2019-nord-kivu-1-61.txt,17748,16765,-983
palm-nord-kivu-2-62-2019-global-avec-session-speciale.pdf,palm-nord-kivu-2-62-2019-global-avec-session-speciale.txt,palmares-2019-nord-kivu-2-62-s.txt,26480,24866,-1614
palm-nord-kivu-3-66-2019.pdf,palm-nord-kivu-3-66-2019.txt,palmares-2019-nord-kivu-3-66.txt,11929,11195,-734
palm-nord-ubangi-45-2019.pdf,palm-nord-ubangi-45-2019.txt,palmares-2019-nord-ubangi-45.txt,5936,5417,-519
palm-sankuru-92-2019.pdf,palm-sankuru-92-2019.txt,palmares-2019-sankuru-92.txt,16288,14985,-1303
palm-sud-kivu-1-63-2019.pdf,palm-sud-kivu-1-63-2019.txt,palmares-2019-sud-kivu-1-63.txt,28307,26803,-1504
