first_token,count
kavira,34704
kavugho,21196
kahindo,20987
ilunga,19829
ntumba,19318
ngalula,18494
mbuyi,17402
mujinga,17005
kapinga,16676
masika,15622
ngoy,15073
kasongo,14371
kahambu,14034
mbombo,11789
furaha,9843
neema,9615
matondo,9613
katungu,9127
nzuzi,8831
ngoie,8736
sifa,8180
mputu,8135
nsimba,8122
banza,7864
ndaya,7186
kanyere,6626
kasoki,5902
tshibola,5352
mafuta,5261
zawadi,5218
kalenga,5170
nabintu,5136
kabedi,5118
umba,5051
kanku,5012
kyakimwa,4966
ngoyi,4945
nkulu,4864
nlandu,4817
bilonda,4773
safi,4713
kazadi,4707
meta,4491
feza,4439
mulanga,4423
bahati,4405
nsimire,4364
tsimba,4360
mboyo,4324
fatuma,4102
