first_token,count
ilunga,55377
ngoy,43156
kasongo,39450
kambale,35692
kasereka,25297
muhindo,22608
mutombo,20975
kazadi,20598
mbuyi,18260
ntumba,17930
mumbere,17854
kakule,17351
banza,17000
ngoyi,15655
kabeya,15228
mukendi,13772
kabamba,12603
kalala,12519
mwamba,12479
kayembe,12309
kabongo,11868
mulumba,10824
katembo,10709
nkulu,10659
muamba,10566
tshibangu,10052
bahati,9956
mputu,9751
matondo,9557
ngalamulume,9346
paluku,9290
kalenga,8924
kalonji,8903
tshimanga,8155
kyungu,8078
amani,7682
kalombo,7560
nzuzi,7444
baraka,7419
nsimba,7332
bukasa,7188
mbala,7099
nyembo,6958
kanku,6950
ngandu,6880
ngoma,6817
muteba,6815
amisi,6711
ngongo,6630
numbi,6403
