last_token,count
esther,49218
marie,45886
dorcas,41464
ruth,40598
sarah,39226
rachel,32857
naomie,29182
deborah,26264
merveille,26154
grace,24936
divine,24479
benedicte,21423
rebecca,20800
gracia,19204
therese,18865
christelle,16885
francine,16333
christine,15225
judith,14684
rose,13947
sephora,13179
jeanne,13144
gloria,12793
sylvie,12077
solange,11355
esperance,11169
angel,10985
justine,10870
helene,10733
irene,10649
prisca,10286
noella,10281
rosette,10076
florence,9877
carine,9697
josephine,9418
jeannette,9218
nathalie,9156
veronique,9152
julienne,9079
jolie,8848
plamedie,8838
louise,8829
mireille,8769
beatrice,8761
pauline,8713
nadege,8703
julie,8588
monique,8392
patience,8387
