last_token,count
jean,116996
joseph,51626
pierre,42663
david,41400
moise,41001
jonathan,39241
emmanuel,39022
patrick,38937
christian,37712
daniel,36711
andre,35044
joel,32983
justin,32649
jacques,30477
heritier,29388
jeremie,29387
tresor,28887
paul,28236
michel,28079
junior,27704
samuel,27186
josue,26661
elie,26409
francois,25984
albert,24092
augustin,23363
pascal,22710
gloire,22580
gedeon,21822
fiston,20889
benjamin,19908
alain,19721
dieu,19704
isaac,19615
john,19595
chadrack,18285
grace,18227
olivier,17359
exauce,17099
dieudonne,16863
marcel,16706
claude,16683
fabrice,16495
prince,16442
richard,16192
serge,16189
charles,16155
martin,15464
merci,15411
roger,15105
