letter,count,share
a,22891736,0.1552802149669496
e,12916585,0.08761633872760356
n,12189629,0.08268521930741132
i,12098961,0.0820701962034133
m,9953667,0.06751814504017661
o,8910579,0.06044262534741737
u,8367521,0.056758930804569174
l,7420282,0.05033357819937233
b,6928657,0.0469987662094417
k,6460145,0.043820735322024705
s,5514645,0.03740717877693565
t,4711872,0.03196177419907126
g,4611956,0.031284019660986526
d,4202228,0.028504734948023806
r,4119285,0.027942112398558632
h,3069231,0.020819340632935206
y,2649339,0.017971111035018195
c,2129631,0.014445805223346968
p,1779674,0.01207196174598078
w,1706342,0.01157453294792211
j,1412657,0.009582396137827473
z,1358124,0.009212485530663705
v,974864,0.00661273970150365
f,880240,0.0059708820869901575
q,90763,0.0006156675121120235
x,73491,0.0004985073337441989
