ngram,count,share
lunga,119462,0.002112114335855387
ilung,108322,0.0019151566949199516
songo,95157,0.0016823966102776705
asong,91804,0.0016231148355867805
kason,88255,0.00156036773794945
atshi,83322,0.0014731512170576633
tumba,76236,0.0013478691844123762
tshib,71867,0.0012706243071011628
kamba,70087,0.001239153517077368
mbaka,68282,0.0012072407215757107
ambal,63689,0.001126035475182851
ngaka,63079,0.0011152505415230113
ntumb,58765,0.0010389780762630947
bongo,56370,0.0009966339514838876
bamba,53707,0.0009495515279819966
tombo,51698,0.0009140319677809831
utomb,51473,0.0009100539184802225
lumba,51353,0.0009079322921864835
mutom,51317,0.0009072958042983619
mbuyi,51101,0.0009034768769696316
angan,50119,0.000886114901799201
kazad,50076,0.0008853546523772778
muken,49943,0.0008830031832350504
azadi,48763,0.0008621405246799505
shiba,48647,0.0008600896192626694
bangu,47852,0.0008460338450666487
hindo,47544,0.0008405883375793853
angam,47270,0.0008357439575420147
banza,47177,0.0008340996971643669
ongol,47024,0.0008313946236398497
ibang,46499,0.0008221125086047416
ongom,46468,0.0008215644218121924
manga,46381,0.0008200262427492316
ngala,46339,0.000819283673546423
longo,45842,0.0008104966046465207
ambam,45752,0.0008089053849262165
banga,45321,0.0008012852104878706
mulum,44636,0.0007891742603944439
kongo,43942,0.0007769041883289868
ngolo,43754,0.0007735803071354624
ngamu,43619,0.000771193477555006
angal,43296,0.0007654827667810252
mbala,41758,0.0007382905897829373
ngoyi,41656,0.0007364872074332591
wamba,41494,0.0007336230119367116
lenga,41443,0.0007327213207618724
ngama,41314,0.0007304405724961031
mbamu,41014,0.0007251365067617556
abeya,40980,0.0007245353793118628
langa,40814,0.0007216004629388573
