province_a,province_b,jaccard
sud-kivu,bas-congo,0.000023725092606944808
sud-kivu,katanga,0.000492456038397796
sud-kivu,kasai-occidental,0.00013114163428969584
sud-kivu,equateur,9.775566947970244e-6
sud-kivu,kasai-oriental,0.00006605610640537807
sud-kivu,nord-kivu,0.004162459730334234
sud-kivu,autre,0.027516596865341355
sud-kivu,bandundu,0.00010278897780383751
sud-kivu,orientale,0.00015976899455466225
sud-kivu,maniema,0.002129285401516257
sud-kivu,kinshasa,0.00011980940880787619
bas-congo,katanga,0.00016803503801566882
bas-congo,kasai-occidental,0.00035297715508987343
bas-congo,equateur,0.00003025448560567211
bas-congo,kasai-oriental,0.00023080966541533083
bas-congo,nord-kivu,0.000014815012348312793
bas-congo,autre,0.03106160209163794
bas-congo,bandundu,0.00023221575193716824
bas-congo,orientale,0.00002550495832330404
bas-congo,maniema,0.00002670771561624412
bas-congo,kinshasa,0.0009114635250204782
katanga,kasai-occidental,0.002080182775793289
katanga,equateur,0.00005962137905089482
katanga,kasai-oriental,0.003830540561539702
katanga,nord-kivu,0.0001419475873060672
katanga,autre,0.08317935612569817
katanga,bandundu,0.0004576202241774135
katanga,orientale,0.0001910171794455143
katanga,maniema,0.0009481040576090133
katanga,kinshasa,0.0020381004168191323
kasai-occidental,equateur,0.0000931411138911678
kasai-occidental,kasai-oriental,0.00726744370330268
kasai-occidental,nord-kivu,0.00006017269563647669
kasai-occidental,autre,0.04550927189453222
kasai-occidental,bandundu,0.001405909545838896
kasai-occidental,orientale,0.00010399750405990257
kasai-occidental,maniema,0.00015714328474363196
kasai-occidental,kinshasa,0.002245600725610944
equateur,kasai-oriental,0.00007544991978482212
equateur,nord-kivu,0.000010542768056467066
equateur,autre,0.03510190534547152
equateur,bandundu,0.0026285789163336174
equateur,orientale,0.0000646866914163573
equateur,maniema,0.000010086888457170062
equateur,kinshasa,0.00012347260426832249
kasai-oriental,nord-kivu,0.00006758557048070238
kasai-oriental,autre,0.0450981068363306
kasai-oriental,bandundu,0.0002495531358208053
kasai-oriental,orientale,0.00012054803631405673
kasai-oriental,maniema,0.00020742051843277006
kasai-oriental,kinshasa,0.002550877887155367
nord-kivu,autre,0.03394865573982075
nord-kivu,bandundu,0.0000344347873996226
nord-kivu,orientale,0.0007784421220000993
nord-kivu,maniema,0.00035332914572864323
nord-kivu,kinshasa,0.0001151501630094495
autre,bandundu,0.06732246174437231
autre,orientale,0.03226059374363871
autre,maniema,0.011607228336579924
autre,kinshasa,0.08817593745164685
bandundu,orientale,0.00004129434429069782
bandundu,maniema,0.00017364666910068836
bandundu,kinshasa,0.0006940831240211732
orientale,maniema,0.0002641596043668614
orientale,kinshasa,0.00010940054578716732
maniema,kinshasa,0.000131982006189719
